Index,Make,Model,City Mpg For Fuel Type1,Co2 Fuel Type1,Cylinders,Drive,Annual Fuel Cost For Fuel Type1,Fuel Type,Transmission,Vehicle Size Class,Year,ATV Type,Electric motor,baseModel,Price,cluster_label
2867,Jeep,Commander 4WD,13,-1,8,4-Wheel Drive,3900,Regular,Automatic 5-spd,Sport Utility Vehicle - 4WD,2010,Petrol,Not Electric,Commander,"$34,295",3
2868,BMW,X5 xDrive30i,15,-1,6,All-Wheel Drive,4000,Premium,Automatic (S6),Sport Utility Vehicle - 4WD,2010,Petrol,Not Electric,X5,"$53,725",3
2869,Jeep,Wrangler 2WD,15,-1,6,Rear-Wheel Drive,3400,Regular,Automatic 4-spd,Sport Utility Vehicle - 2WD,2010,Petrol,Not Electric,Wrangler,"$33,895",1
2870,Jeep,Commander 2WD,15,-1,6,Rear-Wheel Drive,3650,Regular,Automatic 5-spd,Sport Utility Vehicle - 2WD,2010,Petrol,Not Electric,Commander,"$1,753",1
2871,Volkswagen,Passat Wagon,22,-1,4,Front-Wheel Drive,2850,Premium,Automatic (S6),Midsize Station Wagons,2010,Petrol,Not Electric,Passat,"$4,498",3
2872,BMW,X5 xDrive48i,14,-1,8,All-Wheel Drive,4500,Premium,Automatic (S6),Sport Utility Vehicle - 4WD,2010,Petrol,Not Electric,X5,"$64,625",1
2873,Pontiac,G3 (5-Door),27,-1,4,Front-Wheel Drive,1950,Regular,Manual 5-spd,Compact Cars,2010,Petrol,Not Electric,G3,"$15,685",1
2874,Chevrolet,Cobalt XFE Coupe,25,-1,4,Front-Wheel Drive,1950,Regular,Manual 5-spd,Subcompact Cars,2010,Petrol,Not Electric,Cobalt,"$1,859",1
2875,Ford,Explorer 2WD,14,-1,6,Rear-Wheel Drive,3650,Regular,Automatic 5-spd,Sport Utility Vehicle - 2WD,2010,Petrol,Not Electric,Explorer,"$1,995",1
2876,Mercury,Mountaineer 2WD,15,-1,8,Rear-Wheel Drive,3400,Regular,Automatic 6-spd,Sport Utility Vehicle - 2WD,2010,Petrol,Not Electric,Mountaineer,"$39,305",1
2877,Toyota,Sienna 4WD,16,-1,6,All-Wheel Drive,3250,Regular,Automatic 5-spd,Minivan - 4WD,2010,Petrol,Not Electric,Sienna,"$33,748",3
2878,Mitsubishi,Raider Pickup 2WD,15,-1,6,Rear-Wheel Drive,3400,Regular,Automatic 4-spd,Standard Pickup Trucks 2WD,2010,Petrol,Not Electric,Raider Pickup,"$23,735",1
2879,BMW,650ci,15,-1,8,Rear-Wheel Drive,4000,Premium,Manual 6-spd,Subcompact Cars,2010,Petrol,Not Electric,6 Series,"$8,495",1
2880,Porsche,Cayenne TransSiberia,11,-1,8,All-Wheel Drive,5500,Premium,Manual 6-spd,Sport Utility Vehicle - 4WD,2010,Petrol,Not Electric,Cayenne,"$45,500",3
2881,Infiniti,M45,16,-1,8,Rear-Wheel Drive,4000,Premium,Automatic (S5),Large Cars,2010,Petrol,Not Electric,M45,"$53,015",3
2882,Infiniti,M35x,16,-1,6,All-Wheel Drive,4000,Premium,Automatic (S5),Large Cars,2010,Petrol,Not Electric,M35,"$56,815",3
2883,Dodge,Viper Coupe,13,-1,10,Rear-Wheel Drive,4500,Premium,Manual 6-spd,Two Seaters,2010,Petrol,Not Electric,Viper,"$5,253",1
2884,Jeep,Grand Cherokee SRT8 AWD,12,-1,8,4-Wheel Drive,5500,Premium,Automatic 5-spd,Sport Utility Vehicle - 4WD,2010,Petrol,Not Electric,Grand Cherokee,"$1,674",3
2885,Dodge,Journey  AWD,15,-1,6,All-Wheel Drive,3250,Regular,Automatic 6-spd,Sport Utility Vehicle - 4WD,2010,Petrol,Not Electric,Journey,"$27,230",3
2886,Bentley,Azure,9,-1,8,Rear-Wheel Drive,6500,Premium,Automatic 6-spd,Compact Cars,2010,Petrol,Not Electric,Azure,"$363,000",1
2887,Jaguar,XJ8L,16,-1,8,Rear-Wheel Drive,3750,Premium,Automatic 6-spd,Large Cars,2009,Petrol,Not Electric,XJ,"$94,850",1
2888,Chevrolet,Van 1500 AWD Conversion Cargo,13,-1,8,4-Wheel or All-Wheel Drive,4150,Gasoline or E85,Automatic 4-spd,"Vans, Cargo Type",2009,FFV,Not Electric,Van 1500,"$26,615",3
2889,Jaguar,XJR,15,-1,8,Rear-Wheel Drive,4000,Premium,Automatic 6-spd,Large Cars,2009,Petrol,Not Electric,XJR,"$94,850",1
2890,Pontiac,Torrent AWD,17,-1,6,4-Wheel or All-Wheel Drive,2900,Regular,Automatic 5-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,Torrent,"$25,515",1
2891,Volkswagen,Rabbit,20,-1,5,Front-Wheel Drive,2400,Regular,Automatic (S6),Compact Cars,2009,Petrol,Not Electric,Rabbit,"$20,040",1
2892,Ferrari,F430,11,-1,8,Rear-Wheel Drive,5500,Premium,Manual 6-spd,Two Seaters,2009,Petrol,Not Electric,F430,"$119,988",1
2893,Ford,Ranger Pickup 4WD,15,-1,6,4-Wheel or All-Wheel Drive,3650,Regular,Manual 5-spd,Small Pickup Trucks 4WD,2009,Petrol,Not Electric,Ranger,"$20,990",3
2894,Volkswagen,Routan FWD,17,-1,6,Front-Wheel Drive,2900,Regular,Automatic 6-spd,Minivan - 2WD,2009,Petrol,Not Electric,Routan,"$36,825",3
2895,Pontiac,G3 Wave 5,27,-1,4,Front-Wheel Drive,1950,Regular,Manual 5-spd,Subcompact Cars,2009,Petrol,Not Electric,G3,"$15,305",1
2896,Chevrolet,Van 1500 2WD Cargo,14,-1,8,Rear-Wheel Drive,3900,Regular,Automatic 4-spd,"Vans, Cargo Type",2009,Petrol,Not Electric,Van 1500,"$8,675",1
2897,GMC,Savana 1500 AWD Conversion (cargo),12,-1,8,4-Wheel or All-Wheel Drive,4150,Regular,Automatic 4-spd,"Vans, Cargo Type",2009,Petrol,Not Electric,Savana Cargo,"$25,745",1
2898,Audi,S4 Cabriolet,13,-1,8,4-Wheel or All-Wheel Drive,4800,Premium,Manual 6-spd,Subcompact Cars,2009,Petrol,Not Electric,S4,"$8,351",1
2899,Mercedes-Benz,E320 Bluetec,23,-1,6,Rear-Wheel Drive,2650,Diesel,Automatic 7-spd,Midsize Cars,2009,Diesel,Not Electric,E-Class,"$9,761",3
2900,Saturn,Aura Hybrid,26,-1,4,Front-Wheel Drive,2000,Regular,Automatic 4-spd,Midsize Cars,2009,Hybrid,36V Ni-MH,Aura,"$25,580",3
2901,Audi,A4 Cabriolet quattro,21,-1,4,4-Wheel or All-Wheel Drive,3100,Premium,Automatic (S6),Subcompact Cars,2009,Petrol,Not Electric,A4,"$51,725",1
2902,Porsche,Carrera 2 Cabriolet,18,-1,6,Rear-Wheel Drive,3400,Premium,Manual 6-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 2 Cabriolet,"$194,950",1
2903,Porsche,Carrera 4 S Coupe,18,-1,6,4-Wheel or All-Wheel Drive,3400,Premium,Automatic 7-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 4 S Coupe,"$194,950",1
2904,Porsche,Carrera 4 Targa,18,-1,6,4-Wheel or All-Wheel Drive,3400,Premium,Manual 6-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 4 Targa,"$194,950",1
2905,GMC,Envoy 2WD,14,-1,6,Rear-Wheel Drive,3650,Regular,Automatic 4-spd,Sport Utility Vehicle - 2WD,2009,Petrol,Not Electric,Envoy,"$1,746",1
2906,Dodge,Caravan/Grand Caravan FWD,16,-1,6,Front-Wheel Drive,3250,Regular,Automatic 6-spd,Minivan - 2WD,2009,Petrol,Not Electric,Caravan/Grand Caravan,"$23,740",3
2907,Porsche,Carrera 4 S Targa,18,-1,6,4-Wheel or All-Wheel Drive,3600,Premium,Manual 6-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 4 S Targa,"$82,680,",1
2908,Porsche,Carrera 2 S Coupe,19,-1,6,Rear-Wheel Drive,3250,Premium,Automatic 7-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 2 S Coupe,"$194,950",1
2909,Saab,9-5 SportCombi,17,-1,4,Front-Wheel Drive,2900,Regular,Automatic (S5),Midsize Station Wagons,2009,Petrol,Not Electric,09-May,"$46,990",3
2910,smart,fortwo convertible,33,-1,3,Rear-Wheel Drive,2000,Premium,Automatic (AM5),Two Seaters,2009,Petrol,Not Electric,fortwo,"$21,635",3
2911,Saab,9-3 Aero Sedan AWD,17,-1,4,4-Wheel or All-Wheel Drive,2750,Regular,Automatic (S6),Compact Cars,2009,Petrol,Not Electric,09-Mar,"$52,105",1
2912,Chevrolet,Cobalt,22,-1,4,Front-Wheel Drive,2350,Regular,Manual 5-spd,Subcompact Cars,2009,Petrol,Not Electric,Cobalt,"$24,145",1
2913,Lexus,RX 350 4WD,17,-1,6,4-Wheel or All-Wheel Drive,3750,Premium,Automatic (S5),Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,RX,"$44,125",3
2914,Chrysler,Aspen 4WD,13,-1,8,4-Wheel or All-Wheel Drive,3900,Gasoline or E85,Automatic 5-spd,Sport Utility Vehicle - 4WD,2009,FFV,Not Electric,Aspen,"$38,955",3
2915,GMC,Envoy 4WD,14,-1,6,4-Wheel or All-Wheel Drive,3650,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,Envoy,"$1,746",1
2916,Chrysler,Aspen 2WD,14,-1,8,Rear-Wheel Drive,3900,Gasoline or E85,Automatic 5-spd,Sport Utility Vehicle - 2WD,2009,FFV,Not Electric,Aspen,"$38,955",3
2917,Mercury,Sable FWD,18,-1,6,Front-Wheel Drive,2750,Regular,Automatic 6-spd,Large Cars,2009,Petrol,Not Electric,Sable,"$29,510",1
2918,Aston Martin,DBS Coupe,11,-1,12,Rear-Wheel Drive,5500,Premium,Manual 6-spd,Two Seaters,2009,Petrol,Not Electric,DBS,"$49,126",1
2919,Ford,Ranger Pickup 2WD,16,-1,6,Rear-Wheel Drive,3250,Regular,Automatic 5-spd,Small Pickup Trucks 2WD,2009,Petrol,Not Electric,Ranger,"$21,150",3
2920,Pontiac,G3 Wave,27,-1,4,Front-Wheel Drive,1950,Regular,Manual 5-spd,Compact Cars,2009,Petrol,Not Electric,G3,"$15,305",1
2921,Jaguar,XKR Convertible,15,-1,8,Rear-Wheel Drive,4000,Premium,Automatic 6-spd,Minicompact Cars,2009,Petrol,Not Electric,XKR,"$1,023",1
2922,BMW,750li,14,-1,8,Rear-Wheel Drive,4200,Premium,Automatic (S6),Large Cars,2009,Petrol,Not Electric,7 Series,"$29,348",1
2923,Bentley,Arnage RL,9,-1,8,Rear-Wheel Drive,6500,Premium,Automatic (S6),Large Cars,2009,Petrol,Not Electric,Arnage,"$82,980",1
2924,Cadillac,XLR,15,-1,8,Rear-Wheel Drive,4000,Premium,Automatic (S6),Two Seaters,2009,Petrol,Not Electric,XLR,"$102,530",1
2925,Chevrolet,TrailBlazer 2WD,14,-1,6,Rear-Wheel Drive,3650,Regular,Automatic 4-spd,Sport Utility Vehicle - 2WD,2009,Petrol,Not Electric,TrailBlazer,"$38,635",1
2926,Saturn,Astra 4DR Hatchback,24,-1,4,Front-Wheel Drive,2150,Regular,Automatic 4-spd,Midsize Cars,2009,Petrol,Not Electric,Astra,"$1,359",1
2927,Cadillac,STS-V,13,-1,8,Rear-Wheel Drive,4800,Premium,Automatic (S6),Midsize Cars,2009,Petrol,Not Electric,STS-V,"$81,940",1
2928,Mercedes-Benz,CLK550,15,-1,8,Rear-Wheel Drive,4200,Premium,Automatic 7-spd,Subcompact Cars,2009,Petrol,Not Electric,CLK-Class,"$57,375",1
2929,Mercedes-Benz,CLK350 (Cabriolet),17,-1,6,Rear-Wheel Drive,3600,Premium,Automatic 7-spd,Subcompact Cars,2009,Petrol,Not Electric,CLK-Class,"$6,780",1
2930,Porsche,Carrera 4 S Cabriolet,18,-1,6,4-Wheel or All-Wheel Drive,3600,Premium,Manual 6-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 4 S Cabriolet,"$194,950",1
2931,GMC,Yukon 1500 XFE 2WD,15,-1,8,Rear-Wheel Drive,3400,Gasoline or E85,Automatic 6-spd,Sport Utility Vehicle - 2WD,2009,FFV,Not Electric,Yukon,"$57,230",3
2932,Dodge,Journey  4WD,15,-1,6,4-Wheel or All-Wheel Drive,3400,Regular,Automatic 6-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,Journey,"$27,145",1
2933,Pontiac,Torrent FWD,17,-1,6,Front-Wheel Drive,2900,Regular,Automatic 5-spd,Sport Utility Vehicle - 2WD,2009,Petrol,Not Electric,Torrent,"$24,820",3
2934,Ford,F150 SFE 2WD,15,-1,8,Rear-Wheel Drive,3400,Regular,Automatic 6-spd,Standard Pickup Trucks 2WD,2009,Petrol,Not Electric,F150,"$30,500",1
2935,Jaguar,XKR,15,-1,8,Rear-Wheel Drive,4000,Premium,Automatic 6-spd,Minicompact Cars,2009,Petrol,Not Electric,XKR,"$1,023",1
2936,Nissan,Titan FE 2WD,13,-1,8,Rear-Wheel Drive,3900,Regular,Automatic 5-spd,Standard Pickup Trucks 2WD,2009,Petrol,Not Electric,Titan,"$37,350",1
2937,Mercury,Mountaineer 4WD,14,-1,8,4-Wheel or All-Wheel Drive,3650,Regular,Automatic 6-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,Mountaineer,"$34,315",1
2938,Chevrolet,Van 1500 2WD Conversion Cargo,13,-1,8,Rear-Wheel Drive,4150,Regular,Automatic 4-spd,"Vans, Cargo Type",2009,Petrol,Not Electric,Van 1500,"$8,675",1
2939,Ford,Taurus X AWD,15,-1,6,4-Wheel or All-Wheel Drive,3250,Regular,Automatic 6-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,Taurus,"$33,150",1
2940,Cadillac,XLR-V,14,-1,8,Rear-Wheel Drive,4200,Premium,Automatic (S6),Two Seaters,2009,Petrol,Not Electric,XLR-V,"$10,637",1
2941,Kia,Spectra,24,-1,4,Front-Wheel Drive,2150,Regular,Automatic 4-spd,Midsize Cars,2009,Petrol,Not Electric,Spectra,"$18,540",1
2942,Mazda,B2300 2WD,19,-1,4,Rear-Wheel Drive,2750,Regular,Automatic 5-spd,Small Pickup Trucks 2WD,2009,Petrol,Not Electric,B Pickup,"$16,060",3
2943,Honda,S2000,18,-1,4,Rear-Wheel Drive,3400,Premium,Manual 6-spd,Two Seaters,2009,Petrol,Not Electric,S2000,"$38,705",1
2944,Nissan,350z Roadster,17,-1,6,Rear-Wheel Drive,3750,Premium,Automatic (S5),Two Seaters,2009,Petrol,Not Electric,350z,"$40,915",1
2945,Subaru,Impreza Wagon/Outback SPT AWD,17,-1,4,4-Wheel or All-Wheel Drive,3750,Premium,Manual 6-spd,Small Station Wagons,2009,Petrol,Not Electric,Impreza/Outback Sport,"$28,660",1
2946,Jaguar,XF Supercharged,15,-1,8,Rear-Wheel Drive,4200,Premium,Automatic 6-spd,Midsize Cars,2009,Petrol,Not Electric,XF,"$12,999",1
2947,Chevrolet,TrailBlazer AWD,12,-1,8,4-Wheel or All-Wheel Drive,4500,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,TrailBlazer,"$38,635",1
2948,Porsche,Carrera 4 Cabriolet,18,-1,6,4-Wheel or All-Wheel Drive,3400,Premium,Automatic 7-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 4 Cabriolet,"$99,580",1
2949,Pontiac,Vibe AWD,20,-1,4,4-Wheel or All-Wheel Drive,2650,Regular,Automatic 4-spd,Small Station Wagons,2009,Petrol,Not Electric,Vibe,"$20,945",1
2950,Nissan,Titan FE 2WD FFV,13,-1,8,Rear-Wheel Drive,3900,Gasoline or E85,Automatic 5-spd,Standard Pickup Trucks 2WD,2009,FFV,Not Electric,Titan,"$37,350",3
2951,Alfa Romeo,8 C Spider,11,-1,8,Rear-Wheel Drive,5500,Premium,Automatic 6-spd,Minicompact Cars,2009,Petrol,Not Electric,Spider,"$369,995",1
2952,Chrysler,Aspen HEV,20,-1,8,4-Wheel or All-Wheel Drive,2750,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Hybrid,300V Ni-MH,Aspen,"$38,955",3
2953,Mercedes-Benz,SLR,12,-1,8,Rear-Wheel Drive,5500,Premium,Automatic (S5),Two Seaters,2009,Petrol,Not Electric,SLR,"$40,752",1
2954,Mitsubishi,Raider Pickup 4WD,14,-1,8,4-Wheel or All-Wheel Drive,3900,Gasoline or E85,Automatic 5-spd,Standard Pickup Trucks 4WD,2009,FFV,Not Electric,Raider Pickup,"$24,950",3
2955,Ford,Taurus X FWD,17,-1,6,Front-Wheel Drive,3050,Regular,Automatic 6-spd,Sport Utility Vehicle - 2WD,2009,Petrol,Not Electric,Taurus,"$33,150",3
2956,Saab,9-3 Aero SportCombi AWD,18,-1,4,4-Wheel or All-Wheel Drive,2750,Regular,Manual 6-spd,Small Station Wagons,2009,Petrol,Not Electric,09-Mar,"$45,660",1
2957,Chevrolet,TrailBlazer 4WD,14,-1,6,4-Wheel or All-Wheel Drive,3650,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,TrailBlazer,"$38,635",1
2958,Pontiac,G8,15,-1,8,Rear-Wheel Drive,3250,Regular,Automatic (S6),Large Cars,2009,Petrol,Not Electric,G8,"$39,995",1
2959,Suzuki,XL7 FWD,17,-1,6,Front-Wheel Drive,3050,Regular,Automatic (S6),Sport Utility Vehicle - 2WD,2009,Petrol,Not Electric,XL7,"$30,430",3
2960,Mercedes-Benz,CLK550 (Cabriolet),15,-1,8,Rear-Wheel Drive,4200,Premium,Automatic 7-spd,Subcompact Cars,2009,Petrol,Not Electric,CLK-Class,"$66,075",1
2961,Chevrolet,Van 1500 AWD Cargo,14,-1,8,4-Wheel or All-Wheel Drive,3900,Regular,Automatic 4-spd,"Vans, Cargo Type",2009,Petrol,Not Electric,Van 1500,"$24,845",1
2962,Mazda,B4000 4WD,14,-1,6,4-Wheel or All-Wheel Drive,3900,Regular,Automatic 5-spd,Small Pickup Trucks 4WD,2009,Petrol,Not Electric,B Pickup,"$1,375",3
2963,BMW,128i Convertible,18,-1,6,Rear-Wheel Drive,3400,Premium,Manual 6-spd,Subcompact Cars,2009,Petrol,Not Electric,1 Series,"$44,845",1
2964,Saturn,Astra 2DR Hatchback,24,-1,4,Front-Wheel Drive,2150,Regular,Automatic 4-spd,Compact Cars,2009,Petrol,Not Electric,Astra,"$19,545",1
2965,Kia,Amanti,17,-1,6,Front-Wheel Drive,3050,Regular,Automatic 5-spd,Large Cars,2009,Petrol,Not Electric,Amanti,"$26,795",1
2966,Toyota,Matrix AWD,20,-1,4,4-Wheel or All-Wheel Drive,2650,Regular,Automatic 4-spd,Small Station Wagons,2009,Petrol,Not Electric,Matrix,"$21,320",1
2967,Saab,9-7X AWD,14,-1,8,4-Wheel or All-Wheel Drive,3650,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,09-Jul,"$52,025",1
2968,Dodge,Durango HEV,20,-1,8,4-Wheel or All-Wheel Drive,2750,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Hybrid,300V Ni-MH,Durango,"$41,625",3
2969,Mercury,Milan AWD,17,-1,6,4-Wheel or All-Wheel Drive,2900,Regular,Automatic 6-spd,Midsize Cars,2009,Petrol,Not Electric,Milan,"$26,020",1
2970,Saleen Performance,S281 Family,11,-1,8,Rear-Wheel Drive,5100,Premium,Manual 6-spd,Subcompact Cars,2009,Petrol,Not Electric,S281 Family,"$30,713",1
2971,Porsche,Carrera 2 S Cabriolet,19,-1,6,Rear-Wheel Drive,3250,Premium,Automatic 7-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 2 S Cabriolet,"$194,950",1
2972,Nissan,Versa FE,28,-1,4,Front-Wheel Drive,1950,Regular,Automatic (variable gear ratios),Midsize Cars,2009,Petrol,Not Electric,Versa,"$17,300",1
2973,Nissan,370z,18,-1,6,Rear-Wheel Drive,3400,Premium,Manual 6-spd,Two Seaters,2009,Petrol,Not Electric,370z,"$39,850",1
2974,Volvo,C70 Convertible,18,-1,5,Front-Wheel Drive,2750,Regular,Manual 6-spd,Subcompact Cars,2009,Petrol,Not Electric,C70,"$41,875",1
2975,Porsche,Carrera 2 Coupe,19,-1,6,Rear-Wheel Drive,3250,Premium,Automatic 7-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 2 Coupe,"$194,950",1
2976,Isuzu,Ascender 5-passenger 4WD,14,-1,6,4-Wheel or All-Wheel Drive,3650,Regular,Automatic 4-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,Ascender,"$5,995",1
2977,Bentley,Arnage,10,-1,8,Rear-Wheel Drive,6500,Premium,Automatic (S6),Midsize Cars,2009,Petrol,Not Electric,Arnage,"$82,980",1
2978,Jaguar,Super V8,15,-1,8,Rear-Wheel Drive,4000,Premium,Automatic 6-spd,Large Cars,2009,Petrol,Not Electric,Super V8,"$94,850",1
2979,Jaguar,Vdp,16,-1,8,Rear-Wheel Drive,3750,Premium,Automatic 6-spd,Large Cars,2009,Petrol,Not Electric,Vdp,"$7,995",1
2980,Porsche,Carrera 4 Coupe,18,-1,6,4-Wheel or All-Wheel Drive,3400,Premium,Manual 6-spd,Minicompact Cars,2009,Petrol,Not Electric,Carrera 4 Coupe,"$194,950",1
2981,Spyker,C8,13,-1,8,Rear-Wheel Drive,3900,Regular,Manual 6-spd,Two Seaters,2009,Petrol,Not Electric,C8,"$445,000",1
2982,Audi,A4 Cabriolet,23,-1,4,Front-Wheel Drive,2850,Premium,Automatic (variable gear ratios),Subcompact Cars,2009,Petrol,Not Electric,A4,"$51,725",1
2983,Mercedes-Benz,CLK350,17,-1,6,Rear-Wheel Drive,3600,Premium,Automatic 7-spd,Subcompact Cars,2009,Petrol,Not Electric,CLK-Class,"$5,000",1
2984,Land Rover,LR3,12,-1,8,4-Wheel or All-Wheel Drive,5100,Premium,Automatic (S6),Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,LR3,"$47,625",1
2985,GMC,Savana 1500 AWD (cargo),14,-1,8,4-Wheel or All-Wheel Drive,3900,Regular,Automatic 4-spd,"Vans, Cargo Type",2009,Petrol,Not Electric,Savana Cargo,"$25,745",1
2986,Suzuki,XL7 AWD,16,-1,6,4-Wheel or All-Wheel Drive,3250,Regular,Automatic (S6),Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,XL7,"$30,430",1
2987,Chevrolet,Cobalt XFE,25,-1,4,Front-Wheel Drive,1950,Regular,Manual 5-spd,Subcompact Cars,2009,Petrol,Not Electric,Cobalt,"$24,145",1
2988,Porsche,911 GT2,16,-1,6,Rear-Wheel Drive,3750,Premium,Manual 6-spd,Two Seaters,2009,Petrol,Not Electric,911,"$194,950",1
2989,Mercedes-Benz,SL600,11,-1,12,Rear-Wheel Drive,5100,Premium,Automatic 5-spd,Two Seaters,2009,Petrol,Not Electric,SL-Class,"$139,975",1
2990,Chevrolet,Tahoe 1500 XFE 2WD,15,-1,8,Rear-Wheel Drive,3400,Gasoline or E85,Automatic 6-spd,Sport Utility Vehicle - 2WD,2009,FFV,Not Electric,Tahoe,"$55,970",3
2991,Lexus,GX 470,14,-1,8,4-Wheel or All-Wheel Drive,4800,Premium,Automatic 5-spd,Sport Utility Vehicle - 4WD,2009,Petrol,Not Electric,GX,"$4,032",1
2992,Mercury,Sable AWD,17,-1,6,4-Wheel or All-Wheel Drive,3050,Regular,Automatic 6-spd,Large Cars,2009,Petrol,Not Electric,Sable,"$29,510",1
2993,Infiniti,G35,17,-1,6,Rear-Wheel Drive,3600,Premium,Automatic (S5),Midsize Cars,2008,Petrol,Not Electric,G35,"$6,445",3
2994,Acura,TL,18,-1,6,Front-Wheel Drive,3400,Premium,Automatic (S5),Midsize Cars,2008,Petrol,Not Electric,TL,"$38,940",3
2995,Roush Performance,Stage 3 F150 Super Cab 2WD,11,-1,8,Rear-Wheel Drive,5500,Premium,Automatic 4-spd,Standard Pickup Trucks 2WD,2008,Petrol,Not Electric,F150,"$5,700",1
2996,Chrysler,Crossfire Coupe,15,-1,6,Rear-Wheel Drive,4000,Premium,Manual 6-spd,Two Seaters,2008,Petrol,Not Electric,Crossfire,"$5,000",1
2997,MINI,MiniE,102,0,0,All-Wheel Drive,700,Electricity,Automatic (A1),Minicompact Cars,2008,EV,150 kW,MiniE,"$25,600",2
2998,Nissan,350z,17,-1,6,Rear-Wheel Drive,3600,Premium,Automatic (S5),Two Seaters,2008,Petrol,Not Electric,350z,"$40,290",1
2999,GMC,Savana 1500/2500 AWD (cargo),13,-1,8,4-Wheel or All-Wheel Drive,3900,Gasoline or E85,Automatic 4-spd,"Vans, Cargo Type",2008,FFV,Not Electric,Savana Cargo,"$24,655",3
3000,"Tecstar, LP",Foose F150 Regular Cab 4WD,11,-1,8,4-Wheel or All-Wheel Drive,5500,Premium,Automatic 4-spd,Standard Pickup Trucks 4WD,2008,Petrol,Not Electric,Foose F150,"$32,395",1
3001,Lamborghini,Murcielago Reventon,9,-1,12,4-Wheel or All-Wheel Drive,6500,Premium,Automatic (S6),Two Seaters,2008,Petrol,Not Electric,Murcielago,"$153,868",1
3002,Dodge,Caravan/Grand Caravan 2WD,17,-1,6,Front-Wheel Drive,3050,Regular,Automatic 4-spd,Minivan - 2WD,2008,Petrol,Not Electric,Caravan/Grand Caravan,"$27,695",3
3003,Suzuki,Forenza Wagon,19,-1,4,Front-Wheel Drive,2650,Regular,Manual 5-spd,Small Station Wagons,2008,Petrol,Not Electric,Forenza,"$16,874",1
3004,Pontiac,Grand Prix,16,-1,8,Front-Wheel Drive,3750,Premium,Automatic (S4),Midsize Cars,2008,Petrol,Not Electric,Grand Prix,"$33,565",3
3005,Chevrolet,Van 1500/2500 2WD,14,-1,8,Rear-Wheel Drive,3900,Regular,Automatic 4-spd,"Vans, Cargo Type",2008,Petrol,Not Electric,Van 1500/2500,"$25,825",1
3006,Mercedes-Benz,CLK63 AMG (Cabriolet),12,-1,8,Rear-Wheel Drive,5100,Premium,Automatic (S7),Subcompact Cars,2008,Petrol,Not Electric,CLK-Class,"$2,830",3
3007,Toyota,Camry Solara Convertible,18,-1,6,Front-Wheel Drive,2750,Regular,Automatic (S5),Compact Cars,2008,Petrol,Not Electric,Camry,"$4,710",3
3008,Suzuki,Forenza,20,-1,4,Front-Wheel Drive,2550,Regular,Manual 5-spd,Compact Cars,2008,Petrol,Not Electric,Forenza,"$16,874",1
3009,Mercedes-Benz,SLK280,18,-1,6,Rear-Wheel Drive,3600,Premium,Automatic 7-spd,Two Seaters,2008,Petrol,Not Electric,SLK-Class,"$5,000",1
3010,Hyundai,Tiburon,16,-1,6,Front-Wheel Drive,3050,Regular,Manual 6-spd,Subcompact Cars,2008,Petrol,Not Electric,Tiburon,"$22,995",1
3011,BMW Alpina,B7,14,-1,8,Rear-Wheel Drive,4500,Premium,Automatic (S6),Large Cars,2008,Petrol,Not Electric,7 Series,"$4,534",1
3012,BMW,Z4 Coupe,19,-1,6,Rear-Wheel Drive,3250,Premium,Automatic (S6),Two Seaters,2008,Petrol,Not Electric,Z4,"$16,495",1
3013,Suzuki,Grand Vitara AWD,16,-1,6,4-Wheel or All-Wheel Drive,3250,Regular,Manual 5-spd,Sport Utility Vehicle - 4WD,2008,Petrol,Not Electric,Grand Vitara,"$23,099,",1
3014,Pontiac,G5/Pursuit,22,-1,4,Front-Wheel Drive,2850,Premium,Automatic 4-spd,Subcompact Cars,2008,Petrol,Not Electric,G5,"$20,560",1
